rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12,rule_13,rule_14,rule_15,rule_16,rule_17,rule_18,rule_19,rule_20,default,train_set_name
1296,1296,324,324,324,324,1296,26136,1296,1296,324,324,324,324,1296,26136,156816,156816,26136,287496,0,train_1
384,384,96,96,96,96,384,6144,384,384,96,96,96,96,384,6144,24576,24576,6144,55296,0,train_2
64,64,16,16,16,16,64,784,64,64,16,16,16,16,64,784,3136,3136,784,5488,0,train_3
36,36,9,9,9,9,36,432,36,36,9,9,9,9,36,432,1296,1296,432,2592,0,train_4
36,36,9,9,9,9,36,300,36,36,9,9,9,9,36,300,900,900,300,1500,0,train_5
18,18,5,5,5,5,18,150,18,18,4,4,4,4,18,150,450,450,150,750,0,train_6
8,8,2,2,2,2,8,64,8,8,2,2,2,2,8,64,128,128,64,320,0,train_7
1296,1296,324,324,324,324,1296,26136,1296,1296,324,324,324,324,1296,26136,156816,156816,26136,287496,1920996,train_8
384,384,96,96,96,96,384,6144,384,384,96,96,96,96,384,6144,24576,24576,6144,55296,393216,train_9
64,64,16,16,16,16,64,784,64,64,16,16,16,16,64,784,3136,3136,784,5488,33124,train_10
36,36,9,9,9,9,36,432,36,36,9,9,9,9,36,432,1296,1296,432,2592,17424,train_11
36,36,9,9,9,9,36,300,36,36,9,9,9,9,36,300,900,900,300,1500,10000,train_12
18,18,5,5,5,5,18,150,18,18,4,4,4,4,18,150,450,450,150,750,4050,train_13
8,8,2,2,2,2,8,64,8,8,2,2,2,2,8,64,128,128,64,320,2048,train_14
49279,49279,12320,12320,12320,12320,49279,49279,49279,49279,12319,12319,12319,12319,49279,49279,49279,49279,49279,49279,0,train_15
8997,8997,2249,2249,2249,2249,8997,8997,8997,8997,2249,2249,2249,2249,8997,8997,8997,8997,8997,8997,0,train_16
1045,1045,261,261,261,261,1045,1045,1045,1045,261,261,261,261,1045,1045,1045,1045,1045,1045,0,train_17
483,483,121,121,121,121,483,483,483,483,120,120,120,120,483,483,483,483,483,483,0,train_18
321,321,80,80,80,80,321,321,321,321,80,80,80,80,321,321,321,321,321,321,0,train_19
160,160,40,40,40,40,160,160,160,160,40,40,40,40,160,160,160,160,160,160,0,train_20
59,59,15,15,15,15,59,59,59,59,15,15,15,15,59,59,59,59,59,59,0,train_21
174060,174060,43515,43515,43515,43515,174060,174060,174060,174060,43515,43515,43515,43515,174060,174060,174060,174060,174060,174060,174060,train_22
34611,34611,8653,8653,8653,8653,34611,34611,34611,34611,8652,8652,8652,8652,34611,34611,34611,34611,34611,34611,34611,train_23
3183,3183,796,796,796,796,3183,3183,3183,3183,795,795,795,795,3183,3183,3183,3183,3183,3183,3183,train_24
1613,1613,403,403,403,403,1613,1613,1613,1613,403,403,403,403,1613,1613,1613,1613,1613,1613,1613,train_25
966,966,241,241,241,241,966,966,966,966,241,241,241,241,966,966,966,966,966,966,966,train_26
420,420,105,105,105,105,420,420,420,420,105,105,105,105,420,420,420,420,420,420,420,train_27
192,192,46,46,46,46,192,192,192,192,47,47,47,47,192,192,192,192,192,192,192,train_28
